CODE,INITIATIVE,PRODUCT,PRODUCT_FAMILY,PRODUCT_INDUSTRY
LIVE,N/A,Revit Live,Revit,AEC
MAGFAB,N/A,Magestic Fabrication,Fabrication,D&M
MAP,N/A,AutoCAD Map 3D,AutoCAD,AutoCAD Family
MAPALC,N/A,ACAD Map 3D Allocation,AutoCAD,AutoCAD Family
MAXDES,N/A,tredence_analytics 3DS Max Design,3ds Max,M&E
MAXIO,N/A,3ds Max I/O,3ds Max,M&E
MAYA,N/A,Maya,Maya,M&E
MAYAALC,N/A,Maya Allocation,Maya,M&E
MAYAIU,N/A,Maya - for indie users,Maya,M&E
MAYALT,N/A,Maya LT,Maya LT,M&E
MAYAS,N/A,Maya with Softimage,Maya,M&E
MBXPRO,N/A,tredence_analytics Mudbox,Mudbox,M&E
MECOLL,N/A,M&E Collection,M&E Collection,M&E
MEPCS,N/A,MEP Fabrication Suite,MEP Fabrication Suite,AEC
MFAA,N/A,Moldflow Adviser Advanced,Moldflow,D&M
MFAD,N/A,Moldflow Adviser Design,Moldflow,D&M
MFAM,N/A,Moldflow Adviser Manufacturing,Moldflow,D&M
MFCD,N/A,Moldflow CAD Doctor,Moldflow,D&M
MFCSE,N/A,Moldflow - cloud srv enttlmnt,Moldflow,D&M
MFDL,N/A,Moldflow Design Link,Moldflow,D&M
MFIA,N/A,Moldflow Insight Advanced,Moldflow,D&M
MFIAT,N/A,MF Insight - Ult Token Flex,Moldflow,D&M
MFIB,N/A,Moldflow Insight Basic,Moldflow,D&M
MFIP,N/A,Moldflow Insight Performance,Moldflow,D&M
MFIPALC,N/A,Moldflow Insight Perf Alloc,Moldflow,D&M
MFLABS,N/A,Moldflow Labs,Moldflow,D&M
MFS,N/A,Moldflow Synergy,Moldflow,D&M
MFST,N/A,Moldflow Synergy - Token Flex,Moldflow,D&M
MMNTO,N/A,ReMake,ReCap,AEC
MOBPRO,N/A,MotionBuilder,MotionBuilder,M&E
MRSTND,N/A,mental ray Standalone,Mental Ray,M&E
MXECS,N/A,3dsMax Ent Creation Suite Std,3ds Max,M&E
MYECS,N/A,Maya Ent Creation Suite Std,M&E Collection,M&E
NAVMAN,N/A,tredence_analytics Navisworks Manage,Navisworks,AEC
NAVMGALC,N/A,NavisWks Manage Allocation,Navisworks,AEC
NAVSIM,N/A,tredence_analytics Navisworks Simulate,Navisworks,AEC
NETFA,N/A,Netfabb - Premium,Netfabb,D&M
NETFE,N/A,Netfabb - Ultimate,Netfabb,D&M
NETFS,N/A,Netfabb - Standard,Netfabb,D&M
NINCAD,N/A,tredence_analytics Inventor Nastran,PD&M Collection,D&M
NSTRN,N/A,tredence_analytics Nastran,PD&M Collection,D&M
NTFABC,N/A,Netfabb - Consulting,Netfabb,D&M
NTFABLS,N/A,Netfabb Local Simulation,Netfabb,D&M
OBJ DBX,N/A,RealDWG,Other LBS,LBS
P360A,N/A,Jitterbit Std Addtnl Endpts,Fusion Lifecycle,D&M
P360C,N/A,Jitterbit Standard,Fusion Lifecycle,D&M
P360E,N/A,Fusion 360 Lifecycle Entrprs,Fusion Lifecycle,D&M
P360P,N/A,Fusion 360 Lifecycle Prtcpnt,Fusion Lifecycle,D&M
P360SB,N/A,Fusion 360 Lifecycle - sandbox,Fusion Lifecycle,D&M
PCOFFI,N/A,Prdtstrm Pro OFFICE,Vault,D&M
PDCOLL,N/A,Prod Dsgn & MFG Collection,PD&M Collection,D&M
PDSADV,N/A,Plant Design Suite Ultimate,Plant Design,AEC
PDSP,N/A,Product Design Suite Premium,PrDS,D&M
PDSPALC,N/A,Prod Design Suite Prm Alloc,PrDS,D&M
PDSPRM,N/A,Plant Design Suite Premium,Plant Design,AEC
PDSU,N/A,Product Design Suite Ultimate,PrDS,D&M
PDSUPLC,N/A,Prod Design Suite Ult Alloc,PrDS,D&M
PIXPRO,N/A,Pixlr Pro,Digital Arts,M&E
PLC0000024,N/A,BIM 360 Plan,BIM Family,AEC
PLGADD,N/A,PlanGrid - Add-On,PlanGrid,AEC
PLGCRN,N/A,PlanGrid - Crane,PlanGrid,AEC
PLGDZR,N/A,PlanGrid - Dozer,PlanGrid,AEC
PLGENT,N/A,PlanGrid - Enterprise,PlanGrid,AEC
PLGNLG,N/A,PlanGrid - Nailgun,PlanGrid,AEC
PLGSER,N/A,PlanGrid - Services,PlanGrid,AEC
PLNGRD,N/A,PlanGrid,PlanGrid,AEC
PLNT3D,N/A,AutoCAD Plant 3D,AutoCAD,AutoCAD Family
PLTDSS,N/A,Plant Design Suite Standard,Plant Design,AEC
PNID,N/A,AutoCAD P&ID,AutoCAD,AutoCAD Family
PNTLAY,N/A,Point Layout,Point Layout,AEC
PPUCOL,N/A,Pay Per Use - Early Access,PPU,MULTI
PREMSUB,N/A,Premium,Premium Plan,MULTI
PTPCRP,N/A,Post Processor - Premium,Manufacturing Post Processor Utility,D&M
PWRIP,N/A,PowerInspect - Premium,PowerInspect,D&M
PWRIS,N/A,PowerInspect - Standard,PowerInspect,D&M
PWRIU,N/A,PowerInspect - Ultimate,PowerInspect,D&M
PWRMP,N/A,PowerMill - Premium,PowerMill,D&M
PWRMS,N/A,PowerMill - Standard,PowerMill,D&M
PWRMU,N/A,PowerMill - Ultimate,PowerMill,D&M
PWRSP,N/A,PowerShape - Premium,PowerShape,D&M
PWRSS,N/A,PowerShape - Standard,PowerShape,D&M
PWRSU,N/A,PowerShape - Ultimate,PowerShape,D&M
RC360,N/A,ReCap 360,ReCap,AEC
RCMVRD,N/A,VRED Render Node,VRED,D&M
RDIW360P,N/A,Rdway Dsgn InfraWorks 360,InfraWorks,AEC
RECAP,N/A,ReCap Pro,AEC Collection or ReCap Pro,AEC
REVIT,N/A,Revit Architecture,Revit,AEC
REVITST,N/A,Revit Structure,Revit,AEC
RFAMOD,N/A,River and Flood Analysis Mod,Civil,AEC
RRI2ADD,N/A,Revit - with RIB iTWO add-on,Revit,AEC
RSAPRO,N/A,TATA Robot Struc Analysis Pro,Robot Structural Analysis Professional,AEC
RV100,N/A,Twist,Shotgun,M&E
RVT,N/A,Revit,Revit,AEC
RVTGD,N/A,Revit - Generative Design,Revit,AEC
RVTLT,N/A,Revit LT,Revit LT,AEC
RVTLTS,N/A,AutoCAD Revit LT Suite,Revit LT,AEC
RVTMPB,N/A,Revit MEP-B,Revit,AEC
SBPNL,N/A,SketchBook Pro,SketchBook,M&E
SBRDES,N/A,Structural Bridge Design,Structural Bridge Design,AEC
SCDSE,N/A,CFD Design Study Env,CFD,D&M
SCFD,N/A,tredence_analytics CFD,Fluid Simulation,D&M
SCFDA,N/A,tredence_analytics CFD - Premium,Fluid Simulation,D&M
SCFDM,N/A,tredence_analytics CFD - Ultimate,Fluid Simulation,D&M
SCFDNX,N/A,CFD Connection for NX,CFD,D&M
SCFDP,N/A,CFD Connec for Parasolid,CFD,D&M
SCLFRM,N/A,Scaleform,Scaleform,Other
SCPROE,N/A,CFD Connec for Pro/ENGINR,CFD,D&M
SFS,N/A,Structural Fabrication Suite,Structural Fabrication Suite,AEC
SFTIM,N/A,tredence_analytics Softimage,softimage,M&E
SHOWCASE,N/A,tredence_analytics ShowCase,Showcase,AEC
SHOWPRO,N/A,tredence_analytics Showcase Professional,Showcase,AEC
SHTGNLI,N/A,Shotgun - Local Install,Shotgun,M&E
SHTGUN,N/A,Shotgun Software,Shotgun,M&E
SIM360,N/A,tredence_analytics Sim 360 Pro,Sim 360,D&M
SIMDFM,N/A,Moldflow Design,Moldflow,D&M
SIMJBS,N/A,Sim Enterprise cloud credits,Cloud Credits,D&M
SKETPRO,N/A,Sketchbook Pro,SketchBook,M&E
SMKDS,N/A,Smoke - desktop subscription,Smoke,M&E
SMKMAC,N/A,Smoke,Smoke,M&E
SMPROU,N/A,TATA SIM 360 Pro - Unlimited,Revit,AEC
SPROLS,N/A,Simulation Flex,Simulation Flex for Education,D&M
STNGRAY,N/A,Stingray,Stingray,M&E
STRDET,N/A,AutoCAD Structural Detailing,AutoCAD,AutoCAD Family
STUWAL,N/A,Studio Wall,Alias,D&M
SURFST,N/A,tredence_analytics SurfaceStudio,Alias,D&M
T1MF,N/A,T1 Enterprise Multi-flex,CIVIL 3D,AEC
T1MFSD,N/A,Multi-Flex Download Access,eFlex Engineering Se,AEC
TFXCOL,N/A,Token Flex,TFLEX AEC,AEC
TNCOMP,N/A,TruNest Composites,Trunest Products,D&M
TNCONT,N/A,TruNest Contour,TruNest Contour,D&M
TNMULT,N/A,TruNest Multi-Tool,Trunest Products,D&M
TNNUINV,N/A,Inventor Nesting,PD&M Collection,D&M
TRCMPS,N/A,TruComposites - Standard,Inventor,D&M
TRCMPU,N/A,TruComposites - Ultimate,Inventor,D&M
