_FILE,_LINE,FACEBOOK_ACCOUNT_ID,PUBLISHER,ACCOUNT_ID,_FIVETRAN_SYNCED,CURRENCY,PLATFORM
Manual Ingestion on 2026-02-16,117,,Linkedin,512376482,2026-02-16 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,118,,Linkedin,513980103,2026-02-16 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,119,,Linkedin,503845942,2026-02-16 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,120,,Linkedin,515021027,2026-02-16 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,121,,Linkedin,514217705,2026-02-16 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,122,,Linkedin,509489795,2026-02-16 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,123,,Linkedin,514845605,2026-02-16 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,124,,Linkedin,514977720,2026-02-16 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,125,,Linkedin,510577257,2026-02-16 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,126,,Linkedin,515020045,2026-02-16 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,127,,Linkedin,514865104,2026-02-16 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,128,,Linkedin,516749427,2026-02-16 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,129,,Linkedin,513904283,2026-02-16 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,130,,Linkedin,516723050,2026-02-16 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,131,,Linkedin,508619077,2026-02-16 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,132,,Linkedin,515419084,2026-02-16 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,133,,Linkedin,516417355,2026-02-16 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,134,,Linkedin,503898391,2026-02-16 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,135,,Linkedin,515421590,2026-02-16 10:56:11.908 Z,,
